"JAHR","WOCHE","RAUMBEZUG","MERKMAL","WERT"
2021,01,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",1
2021,02,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",6
2021,03,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",3
2021,04,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",4
2021,05,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",4
2021,06,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",3
2021,07,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",2
2021,08,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",2
2021,09,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",3
2021,10,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",4
2021,11,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",15
2021,12,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",9
2021,13,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",13
2021,14,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",18
2021,15,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",26
2021,16,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",24
2021,17,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",30
2021,18,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",19
2021,19,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",13
2021,20,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",14
2021,21,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",2
2021,22,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",1
2021,23,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",5
2021,24,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",5
2021,25,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",3
2021,26,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",7
2021,27,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",24
2021,28,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",29
2021,29,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",23
2021,30,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",26
2021,31,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",30
2021,32,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",62
2021,33,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",77
2021,34,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",83
2021,35,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",68
2021,36,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",119
2021,37,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",58
2021,38,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",98
2021,39,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",36
2021,40,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",58
2021,41,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",70
2021,42,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",130
2021,43,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",165
2021,44,"Münster gesamt","Corona-Neuinfizierungen von geimpften Personen - mit oder ohne Krankheitsanzeichen",186
