"JAHR","WOCHE","RAUMBEZUG","MERKMAL","WERT"
2020,09,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",1
2020,10,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",4
2020,11,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",33
2020,12,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",210
2020,13,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",181
2020,14,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",101
2020,15,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",46
2020,16,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",22
2020,17,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",19
2020,18,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",5
2020,19,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",17
2020,20,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",31
2020,21,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",29
2020,22,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",4
2020,23,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",19
2020,24,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",2
2020,25,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",4
2020,26,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",1
2020,27,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",2
2020,28,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",3
2020,29,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",4
2020,30,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",14
2020,31,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",24
2020,32,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",57
2020,33,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",47
2020,34,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",26
2020,35,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",24
2020,36,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",18
2020,37,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",21
2020,38,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",27
2020,39,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",54
2020,40,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",82
2020,41,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",93
2020,42,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",98
2020,43,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Kalenderwoche",219
