"JAHR","WOCHE","RAUMBEZUG","MERKMAL","WERT"
2020,09,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",1
2020,10,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",1
2020,10,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",2
2020,10,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",1
2020,11,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",6
2020,11,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",24
2020,11,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",3
2020,12,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",2
2020,12,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",56
2020,12,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",132
2020,12,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",20
2020,13,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",1
2020,13,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",42
2020,13,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",100
2020,13,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",38
2020,14,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",2
2020,14,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",29
2020,14,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",56
2020,14,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",14
2020,15,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",11
2020,15,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",31
2020,15,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",4
2020,16,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",8
2020,16,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",7
2020,16,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",7
2020,17,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",8
2020,17,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",10
2020,17,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",1
2020,18,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",4
2020,18,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",1
2020,19,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",1
2020,19,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",5
2020,19,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",9
2020,19,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",2
2020,20,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",4
2020,20,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",2
2020,20,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",10
2020,20,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",15
2020,21,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",8
2020,21,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",10
2020,21,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",2
2020,21,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",9
2020,22,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",1
2020,22,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",2
2020,22,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",1
2020,23,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",4
2020,23,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",1
2020,23,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",5
2020,23,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",9
2020,24,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",1
2020,24,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",1
2020,25,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",1
2020,25,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",1
2020,25,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",1
2020,25,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",1
2020,26,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",1
2020,27,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",1
2020,28,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",2
2020,28,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",1
2020,29,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",3
2020,29,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",1
2020,30,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",2
2020,30,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",1
2020,30,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",4
2020,30,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",7
2020,31,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",1
2020,31,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",6
2020,31,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",6
2020,31,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",11
2020,32,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",12
2020,32,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",9
2020,32,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",13
2020,32,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",21
2020,32,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",2
2020,33,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",4
2020,33,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",8
2020,33,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",18
