"JAHR","WOCHE","RAUMBEZUG","MERKMAL","WERT"
2020,09,"51 Gievenbeck","Corona-Neuinfizierungen",1
2020,10,"25 Mauritz-West","Corona-Neuinfizierungen",1
2020,10,"52 Sentrup","Corona-Neuinfizierungen",1
2020,10,"97 Hiltrup-West","Corona-Neuinfizierungen",2
2020,11,"11 Aegidii","Corona-Neuinfizierungen",1
2020,11,"14 Buddenturm","Corona-Neuinfizierungen",1
2020,11,"21 Pluggendorf","Corona-Neuinfizierungen",2
2020,11,"22 Josef","Corona-Neuinfizierungen",2
2020,11,"24 Hansaplatz","Corona-Neuinfizierungen",1
2020,11,"25 Mauritz-West","Corona-Neuinfizierungen",1
2020,11,"26 Schlachthof","Corona-Neuinfizierungen",1
2020,11,"27 Kreuz","Corona-Neuinfizierungen",2
2020,11,"33 Schützenhof","Corona-Neuinfizierungen",2
2020,11,"44 Herz-Jesu","Corona-Neuinfizierungen",2
2020,11,"46 Rumphorst","Corona-Neuinfizierungen",1
2020,11,"51 Gievenbeck","Corona-Neuinfizierungen",4
2020,11,"52 Sentrup","Corona-Neuinfizierungen",1
2020,11,"54 Mecklenbeck","Corona-Neuinfizierungen",1
2020,11,"57 Roxel","Corona-Neuinfizierungen",1
2020,11,"58 Nienberge","Corona-Neuinfizierungen",1
2020,11,"61 Coerde","Corona-Neuinfizierungen",1
2020,11,"71 Mauritz-Ost","Corona-Neuinfizierungen",2
2020,11,"82 Gremmendorf-Ost","Corona-Neuinfizierungen",1
2020,11,"86 Angelmodde","Corona-Neuinfizierungen",1
2020,11,"96 Hiltrup-Mitte","Corona-Neuinfizierungen",1
2020,11,"97 Hiltrup-West","Corona-Neuinfizierungen",2
2020,11,"98 Amelsbüren","Corona-Neuinfizierungen",1
2020,12,"11 Aegidii","Corona-Neuinfizierungen",4
2020,12,"12 Überwasser","Corona-Neuinfizierungen",2
2020,12,"13 Dom","Corona-Neuinfizierungen",3
2020,12,"15 Martini","Corona-Neuinfizierungen",2
2020,12,"21 Pluggendorf","Corona-Neuinfizierungen",7
2020,12,"22 Josef","Corona-Neuinfizierungen",6
2020,12,"23 Bahnhof","Corona-Neuinfizierungen",2
2020,12,"24 Hansaplatz","Corona-Neuinfizierungen",6
2020,12,"25 Mauritz-West","Corona-Neuinfizierungen",6
2020,12,"26 Schlachthof","Corona-Neuinfizierungen",1
2020,12,"27 Kreuz","Corona-Neuinfizierungen",18
2020,12,"28 Neutor","Corona-Neuinfizierungen",3
2020,12,"29 Schloss","Corona-Neuinfizierungen",1
2020,12,"31 Aaseestadt","Corona-Neuinfizierungen",5
2020,12,"32 Geist","Corona-Neuinfizierungen",4
2020,12,"33 Schützenhof","Corona-Neuinfizierungen",10
2020,12,"34 Düesberg","Corona-Neuinfizierungen",5
2020,12,"43 Hafen","Corona-Neuinfizierungen",5
